station_id,free bikes,empty slots,total bike slots,average rating,total ratings,average popularity,restaurant_count,bar_count,cafe_counts,bakery_counts,coffee_counts
144,0,10,10,8.363265306122448,9509.0,0.8656718105251258,22,0,4,3,0
145,0,16,16,7.26304347826087,2010.0,0.797346390820191,11,4,7,1,1
146,1,23,24,7.625,1638.0,0.7490040133401165,19,1,8,1,1
147,5,12,17,8.01,3735.0,0.8795613588830479,16,4,6,4,1
148,17,7,24,7.185714285714286,786.0,0.7611743259284381,16,1,4,3,0
149,0,20,20,7.859999999999999,125.0,0.6249663670793059,2,1,6,1,1
150,22,0,22,8.248,12355.0,0.8095268780735968,18,12,2,1,0
151,0,10,10,8.144,8298.0,0.8917474987281669,23,0,0,1,2
152,19,8,27,7.484210526315789,3303.0,0.8089005722142035,28,1,4,2,3
153,8,23,31,7.4,3020.0,0.7917703917246057,25,1,2,4,3
154,4,7,11,8.082,5500.0,0.8811110169012493,30,4,4,1,3
155,5,15,20,7.2,783.0,0.7428322310779493,18,1,4,2,0
156,14,8,22,8.62,14121.0,0.9140325589282686,17,12,2,2,3
157,1,16,17,7.694,3179.0,0.788667684133175,29,3,5,4,1
158,1,19,20,7.748979591836735,3878.0,0.877970719574925,27,2,4,2,0
159,3,7,10,7.803030303030303,2784.0,0.8521875529930473,17,3,3,1,0
160,1,16,17,7.072413793103448,3585.0,0.8202764117347803,13,1,6,3,1
161,3,13,16,7.760000000000001,2533.0,0.8540469730371375,18,1,4,0,1
162,11,9,20,7.580487804878049,1828.0,0.7776066926685885,28,1,6,1,1
163,7,4,11,7.348484848484849,1119.0,0.7931315358091685,15,0,4,4,1
164,0,17,17,8.208,6224.0,0.875177208750212,28,2,1,1,2
165,4,10,14,7.580851063829788,3823.0,0.8260245322480357,24,3,2,2,5
166,4,9,13,8.332,9483.0,0.8947162398959922,20,9,5,1,1
167,4,6,10,7.530434782608695,2576.0,0.8395189644451981,21,2,4,3,1
168,11,1,12,7.7844444444444445,2112.0,0.804374823356509,20,4,6,3,4
169,4,16,20,7.558,3510.0,0.839537617997852,23,3,4,1,0
170,2,12,14,7.72,4844.0,0.9086589226160194,20,0,6,1,0
171,6,17,23,7.278378378378378,1826.0,0.7503196540613871,25,1,2,3,2
172,9,6,15,7.629787234042554,2431.0,0.8186145497710701,23,1,0,5,3
173,0,15,15,8.016666666666667,848.0,0.7523064287096847,6,0,1,0,1
174,6,23,29,7.5636363636363635,2096.0,0.7727505511276921,21,2,4,2,1
175,9,13,22,7.477777777777778,2322.0,0.8472943869764287,11,4,10,4,1
176,3,17,20,7.822,3638.0,0.8619577751399017,22,3,4,3,2
177,6,34,40,7.11,5345.0,0.8507368153298287,14,2,5,0,4
178,0,14,14,7.914,5001.0,0.8454214007122266,24,2,4,4,1
179,6,15,21,8.564,12811.0,0.9420524560510996,15,12,3,1,2
180,4,20,24,8.118367346938776,4104.0,0.8185031937143179,28,5,2,1,6
181,8,14,22,8.196,5705.0,0.8998821434627777,30,1,2,1,2
182,2,19,21,6.995833333333334,860.0,0.7959581597078615,13,1,1,2,0
183,6,4,10,8.012,8111.0,0.8501076818721384,16,1,2,2,3
184,9,5,14,7.4125,5651.0,0.8665700073483693,16,5,5,0,0
