station_id,free bikes,empty slots,total bike slots,average rating,total ratings,average popularity,restaurant_count,bar_count,cafe_counts,bakery_counts,coffee_counts
162,11,9,20,7.422222222222222,328.0,0.8346519090541474,8,0,2,0,0
163,7,4,11,7.085714285714286,207.0,0.7980440013889225,2,0,0,2,0
164,0,17,17,8.100000000000001,273.0,0.7048958509976825,4,0,0,0,1
165,4,10,14,7.546666666666667,894.0,0.8884204892318128,5,2,0,0,2
166,4,9,13,8.100000000000001,3616.0,0.7755198814211872,3,3,0,0,0
167,4,6,10,6.825,344.0,0.7576708238909358,3,1,0,1,0
168,11,1,12,7.2,49.0,0.892087313699998,0,1,0,1,1
169,4,16,20,7.373333333333333,2496.0,0.8461340983174119,15,1,2,0,0
170,2,12,14,7.5055555555555555,735.0,0.8623523260414899,9,0,2,0,0
171,6,17,23,6.3,8.0,0.6914038211519982,2,0,1,1,0
172,9,6,15,7.494736842105263,783.0,0.7847043437597957,9,1,0,2,1
174,6,23,29,7.125,331.0,0.6312205684768005,6,0,1,0,0
175,9,13,22,7.655555555555556,590.0,0.7833703726842968,2,3,1,3,0
176,3,17,20,7.677777777777778,1176.0,0.8518303929388661,8,1,2,1,1
177,6,34,40,7.0562499999999995,4909.0,0.8464594167467451,13,2,5,0,4
178,0,14,14,7.8307692307692305,2624.0,0.8378347530034828,17,2,3,3,1
180,4,20,24,8.069565217391304,1996.0,0.7783436257607446,11,3,2,1,1
181,8,14,22,8.1,273.0,0.7048958509976825,4,0,0,0,1
182,2,19,21,7.425,41.0,0.8248308932979104,2,1,1,0,0
183,6,4,10,8.003333333333334,5263.0,0.873262770146779,10,0,2,0,2
184,9,5,14,6.959999999999999,319.0,0.8251320877681241,5,2,1,0,0
185,14,8,22,8.510714285714284,9913.0,0.9012613354651678,10,8,1,1,0
186,7,14,21,7.591304347826087,1135.0,0.855894501703105,13,0,0,2,4
187,2,38,40,7.314893617021277,5856.0,0.8959421006233484,11,3,4,0,4
188,1,19,20,6.9,858.0,0.6595098033482835,12,1,0,2,1
189,1,16,17,7.706382978723404,5085.0,0.8728996713078052,21,1,5,4,1
190,12,18,30,7.677777777777777,513.0,0.8018138538742234,2,1,0,1,0
192,0,17,17,6.83,314.0,0.7124039844490921,10,1,3,1,0
194,8,6,14,7.1000000000000005,508.0,0.8595412773072243,6,0,1,3,3
