name,rating,total num ratings,popularity,distance,veracity,category,station_id
Capricciosa,7.9,236,0.9758634333842067,399,5,"Pizzeria, Italian Restaurant",4
Dogs,6.6,21,0.7122689503137188,253,1,"Hot Dog Joint, Brewery",4
Burger Ranch,6.6,19,0.8691990277542253,257,4,Burger Joint,4
O Mercado,7.6,79,0.933610310327285,380,5,Mediterranean Restaurant,4
More Than Wine,6.7,10,0.907862755073201,266,5,"Gourmet Store, Wine Store",4
chef nino,7.0,13,0.07718613984511899,309,4,Café,4
Mex Factory,7.1,15,0.9701825787123396,316,5,Mexican Restaurant,4
Sushi Factory,6.6,223,0.9488581764739132,260,5,Sushi Restaurant,4
Fogo,8.0,15,0.9067887626476739,131,5,"Portuguese Restaurant, BBQ Joint",5
iLoja,6.7,10,0.7707167486292466,112,4,Mobile Phone Store,5
Fogo de Chão,8.8,37,0.9326635012153072,298,5,"Brazilian Restaurant, Steakhouse",5
Pastelaria Versailles,8.6,610,0.9866881465151772,302,5,"Pastry Shop, Café",5
Galeto,8.1,320,0.994601774913798,284,5,"Portuguese Restaurant, Café",5
Ouriço,6.8,11,0.3428438188909615,164,4,Portuguese Restaurant,5
The Green Affair,8.8,50,0.9694336103103273,339,5,Vegan and Vegetarian Restaurant,5
Prazeres da Picanha,7.8,109,0.9711717822621672,285,5,Brazilian Restaurant,5
Jardim da Casa da Moeda,7.5,19,0.9535498275959527,269,4,"Garden, Dog Park, Playground",5
Flor das Avenidas,6.9,34,0.9384856706800068,200,5,Café,5
Bingo do Clube de Futebol «Os Belenenses»,7.4,45,0.953620484992369,266,4,Casino,5
Italy Lisbona Caffé,8.6,272,0.9836498784692782,369,5,"Italian Restaurant, Pizzeria",5
Gula's For Kitchen Lovers,8.5,47,0.9510485557628172,382,5,Restaurant,5
Óh Pereira,8.3,48,0.9161438019331863,372,4,Brewery,5
A Padaria Portuguesa,8.1,325,0.905107116612967,368,5,Bakery,5
Culturgest,8.8,140,0.9777005256910294,411,5,Art Gallery,5
La Fabrica,8.5,13,0.864182352608671,410,4,Ice Cream Parlor,5
Jardim do Arco do Cego,8.3,158,0.9887796054490984,418,5,"Garden, Park, Dog Park",5
Petisco Saloio,7.4,9,0.942654457068566,346,4,Portuguese Restaurant,5
Casa Nepalesa,9.4,290,0.9816997343281895,459,5,Indian Restaurant,5
Namur,6.8,52,0.8591232830252671,303,5,"Café, Snack Place, Portuguese Restaurant",5
Arigato Sushi Arena,8.0,364,0.9029450002826296,455,5,Sushi Restaurant,5
Praça Duque de Saldanha,8.8,220,0.9871968797693742,513,4,Plaza,5
Mesa do Bairro,8.0,47,0.9014470634786049,475,5,Portuguese Restaurant,5
100 Montaditos,7.7,111,0.9746339946865638,458,4,Tapas Restaurant,5
Frankie,8.0,71,0.9310383810977333,485,4,Hot Dog Joint,5
Leitaria Vilhena,7.1,12,0.4548075292521621,382,4,Portuguese Restaurant,5
Taberna Manuel Pereira Gomes,6.8,46,0.935574585947657,360,5,"Beer Garden, Snack Place",5
Dieci,7.7,44,0.9084986716409473,467,4,Pizzeria,5
Campo Pequeno,8.0,349,0.9971171782262167,498,5,Plaza,5
People and Food,8.5,94,0.9664801311401278,539,5,Portuguese Restaurant,5
Block House,8.4,79,0.975213385337177,535,4,Steakhouse,5
McDonald's,6.3,226,0.994432197162399,310,5,Fast Food Restaurant,5
Praça de Touros do Campo Pequeno,7.8,272,0.9976541744389803,502,5,"Music Venue, Performing Arts Venue",5
À Parte,8.9,413,0.9448024419196202,568,5,"Seafood Restaurant, Portuguese Restaurant",5
Pastelaria Sequeira,6.5,45,0.9815160250975072,335,4,Bakery,5
Cinema City Campo Pequeno,7.6,205,0.9896274942060935,484,5,Movie Theater,5
Sushi Kiyomi,6.1,27,0.09246226895031372,301,2,Asian Restaurant,5
Parque Infantil do Jardim Marquês de Marialva,7.7,8,0.8970521734215138,521,4,Playground,5
Sem Dúvida,6.2,20,0.940181448193997,334,5,Portuguese Restaurant,5
Baia do PEIXE,7.4,9,0.7203804194223051,492,1,Portuguese Restaurant,5
A Padaria Portuguesa,7.8,33,0.9385845910349896,542,4,Bakery,5
Passage to India,7.7,81,0.8669803855067548,533,5,Indian Restaurant,5
Cento e Quatro º,7.8,8,0.1443389293991295,552,4,Salad Restaurant,5
Honorato Hambúrgueres Artesanais,8.0,229,0.9556695494884404,571,3,Burger Joint,5
Loja NOS,6.1,9,0.9812051325532757,343,4,"Electronics Store, Mobile Phone Store",5
Zara,8.1,29,0.9788734384715392,586,4,Clothing Store,5
Noori Sushi,7.5,26,0.8868633768582895,526,3,"Sushi Restaurant, Japanese Restaurant",5
Jardim da Fundação Calouste Gulbenkian,9.5,656,0.9931744955061896,653,5,"Sculpture Garden, Park",5
Wok to Walk,7.3,16,0.8778474930755752,510,3,"Noodle Restaurant, Asian Restaurant",5
Aula Magna,8.5,127,0.986900118704426,183,4,Concert Hall,6
Alameda da Universidade,7.9,47,0.9373551523373467,378,4,"Plaza, Garden",6
Torre Do Tombo,8.4,21,0.9437849754112261,432,4,"Government Building, Library",6
Universo Ágora Café,N/A,{},0.9119043581482109,187,3,Pizzeria,6
Bar Velho FDL,N/A,{},0.5568509411565202,217,1,Coffee Shop,6
Frankie,8.9,351,0.9356452433440733,581,5,Hot Dog Joint,6
Pátio - ISCTE-IUL,7.3,9,0.8896755412356565,474,4,Plaza,6
Golf Spot,8.2,12,0.9242270080832061,571,5,"Restaurant, Café",6
Estátua Egas Moniz,N/A,{},0.8507009213724492,285,2,Public Art,6
Happy holie,N/A,{},0.21636707930586174,296,1,Arts and Entertainment,6
Letras Bar,6.2,11,0.6593324289186592,371,3,Portuguese Restaurant,6
Marriott Executive Lounge,8.5,40,0.9954920581086428,632,4,Hotel Bar,6
Horto do Campo Grande,8.2,40,0.959301339664236,628,5,Flower Store,6
Cantinbar - HSM,N/A,{},0.0453620484992369,317,2,Snack Place,6
Campus Point,8.3,13,0.9675965180035047,650,4,Café,6
Farmácia Santa Maria,N/A,{},0.03555480187666045,324,3,Pharmacy,6
Secretária Hsm,N/A,{},0.9196060143575829,325,3,Hospital,6
Burger King,6.7,3,0.9791701995364874,467,3,Fast Food Restaurant,6
Motoxplorers,8.1,11,0.8618506585269347,655,5,Motorcycle Dealership,6
Serviço de Cirurgia 2,N/A,{},0.8963738624159177,353,3,Hospital,6
Restaurante Jockey,8.3,65,0.9091063252501271,693,5,Portuguese Restaurant,6
Galeria 111,7.6,10,0.14600644395455317,628,3,Art Gallery,6
Sala de Alunos AEFML,N/A,{},0.9494093041659601,366,4,Breakfast Spot,6
Restaurante Clube i - INDEG,7.2,11,0.8805183426601096,587,4,"Mediterranean Restaurant, Comfort Food Restaurant",6
Sam Croissants,7.7,34,0.9630320501950144,669,4,"Restaurant, Pastry Shop, Sandwich Spot",6
Jardim do Campo Grande,9.2,199,0.9984596687581256,772,5,"Park, Lake",6
Entre Nós - Petiscar e Conversar,8.1,78,0.8681956927251144,738,5,"Portuguese Restaurant, Café, Food and Beverage Retail",6
Restaurante Santa Maria,7.0,29,0.9635549149284948,628,5,BBQ Joint,6
Casa do Lago,7.8,63,0.9451274659431349,739,5,"Restaurant, Café",6
Huang He,8.0,116,0.9918743994121305,785,5,"Chinese Restaurant, Asian Restaurant",6
A-100,7.0,12,0.8727177660957549,649,4,Burger Joint,6
Astrolábio Restaurant,7.1,10,0.15687355152337346,674,3,Restaurant,6
A Horta,6.8,18,0.0010174665083940986,628,4,"Brewery, Café",6
Carvoeiro de Palma,8.6,199,0.930685094115652,866,5,BBQ Joint,6
Marriott Lobby Bar,6.6,10,0.6034141653948335,625,3,Hotel Bar,6
ITAU - Refeitório 2Piso,N/A,{},0.037674523769148156,485,1,Bistro,6
Canto das Tapas,7.1,10,0.904767961110169,707,4,Tapas Restaurant,6
Padel Campo Grande,7.9,18,0.9416511220394551,837,5,"Sports Club, Sports and Recreation, Sporting Goods Retail",6
Taberna Londrina,7.3,9,0.9755666723192584,765,3,Portuguese Restaurant,6
100 Montaditos,6.7,55,0.9805268215476796,662,3,"Tapas Restaurant, Diner",6
Museu de Lisboa,8.2,73,0.9820388898309875,889,5,History Museum,6
Lucimar,9.0,137,0.9499039059408739,935,5,Portuguese Restaurant,6
Akiafesta,N/A,{},0.8544598948617941,524,4,Arts and Entertainment,6
