latitude,longitude,timestamp,free bikes,empty slots,total slots,station_id
38.76829,-9.11255,2025-07-26T23:39:44.571341+00:00Z,2,23,25,132
38.776152,-9.159899,2025-07-26T23:39:44.571180+00:00Z,0,16,16,133
38.764067,-9.118689,2025-07-26T23:39:44.571062+00:00Z,16,4,20,134
38.729739,-9.106709,2025-07-26T23:39:44.571081+00:00Z,3,13,16,135
38.75939,-9.16405,2025-07-26T23:39:44.571367+00:00Z,1,14,15,136
38.721721,-9.135295,2025-07-26T23:39:44.571449+00:00Z,3,8,11,137
38.739427,-9.166589,2025-07-26T23:39:44.571397+00:00Z,1,16,17,138
38.713538,-9.198276,2025-07-26T23:39:44.571479+00:00Z,3,24,27,139
38.754472,-9.130766,2025-07-26T23:39:44.571111+00:00Z,1,19,20,140
38.768683,-9.158298,2025-07-26T23:39:44.571001+00:00Z,1,26,27,141
38.69631,-9.198901,2025-07-26T23:39:44.571175+00:00Z,17,5,22,142
38.728049,-9.135956,2025-07-26T23:39:44.570585+00:00Z,3,11,14,143
38.737911,-9.152295,2025-07-26T23:39:44.570545+00:00Z,0,10,10,144
38.741406,-9.176365,2025-07-26T23:39:44.570953+00:00Z,0,16,16,145
38.75264,-9.15671,2025-07-26T23:39:44.571241+00:00Z,1,23,24,146
38.720733,-9.134847,2025-07-26T23:39:44.570869+00:00Z,5,12,17,147
38.763585,-9.117117,2025-07-26T23:39:44.571211+00:00Z,17,7,24,148
38.778408,-9.149151,2025-07-26T23:39:44.571098+00:00Z,0,20,20,149
38.70797,-9.13951,2025-07-26T23:39:44.570788+00:00Z,22,0,22,150
38.733526,-9.152444,2025-07-26T23:39:44.571024+00:00Z,0,10,10,151
38.697979,-9.226569,2025-07-26T23:39:44.571160+00:00Z,19,8,27,152
38.72392,-9.160992,2025-07-26T23:39:44.571067+00:00Z,8,23,31,153
38.7246,-9.14969,2025-07-26T23:39:44.570701+00:00Z,4,7,11,154
38.765588,-9.116342,2025-07-26T23:39:44.571297+00:00Z,5,15,20,155
38.70523,-9.14373,2025-07-26T23:39:44.570565+00:00Z,14,8,22,156
38.717313,-9.165653,2025-07-26T23:39:44.571189+00:00Z,1,16,17,157
38.742814,-9.149145,2025-07-26T23:39:44.571412+00:00Z,1,19,20,158
38.697,-9.188,2025-07-26T23:39:44.570929+00:00Z,3,7,10,159
38.745181,-9.190028,2025-07-26T23:39:44.571260+00:00Z,1,16,17,160
38.697907,-9.191793,2025-07-26T23:39:44.571077+00:00Z,3,13,16,161
38.74574,-9.155302,2025-07-26T23:39:44.571423+00:00Z,11,9,20,162
38.773489,-9.161462,2025-07-26T23:39:44.570859+00:00Z,7,4,11,163
38.742574,-9.158365,2025-07-26T23:39:44.571086+00:00Z,0,17,17,164
38.774289,-9.09235,2025-07-26T23:39:44.570532+00:00Z,4,10,14,165
38.711888,-9.136456,2025-07-26T23:39:44.571302+00:00Z,4,9,13,166
38.74975,-9.14722,2025-07-26T23:39:44.570774+00:00Z,4,6,10,167
38.727509,-9.128212,2025-07-26T23:39:44.571193+00:00Z,11,1,12,168
38.74081,-9.14329,2025-07-26T23:39:44.570672+00:00Z,4,16,20,169
38.73937,-9.14199,2025-07-26T23:39:44.570908+00:00Z,2,12,14,170
38.766995,-9.182513,2025-07-26T23:39:44.570874+00:00Z,6,17,23,171
38.75832,-9.1409,2025-07-26T23:39:44.570912+00:00Z,9,6,15,172
38.713721,-9.196554,2025-07-26T23:39:44.570968+00:00Z,0,15,15,173
38.75027,-9.15031,2025-07-26T23:39:44.571289+00:00Z,6,23,29,174
38.76081,-9.16658,2025-07-26T23:39:44.570550+00:00Z,9,13,22,175
38.731698,-9.146522,2025-07-26T23:39:44.571360+00:00Z,3,17,20,176
38.768548,-9.096222,2025-07-26T23:39:44.570570+00:00Z,6,34,40,177
38.733827,-9.14727,2025-07-26T23:39:44.571027+00:00Z,0,14,14,178
38.71702,-9.14242,2025-07-26T23:39:44.570655+00:00Z,6,15,21,179
38.70673,-9.15424,2025-07-26T23:39:44.570560+00:00Z,4,20,24,180
38.741986,-9.157637,2025-07-26T23:39:44.571090+00:00Z,8,14,22,181
38.768137,-9.110767,2025-07-26T23:39:44.570711+00:00Z,2,19,21,182
38.73432,-9.15425,2025-07-26T23:39:44.571032+00:00Z,6,4,10,183
38.759156,-9.096439,2025-07-26T23:39:44.570600+00:00Z,9,5,14,184
38.70617,-9.14471,2025-07-26T23:39:44.571129+00:00Z,14,8,22,185
38.75482,-9.13827,2025-07-26T23:39:44.571219+00:00Z,7,14,21,186
38.766716,-9.097322,2025-07-26T23:39:44.570513+00:00Z,2,38,40,187
38.764097,-9.177955,2025-07-26T23:39:44.571454+00:00Z,1,19,20,188
38.734247,-9.145341,2025-07-26T23:39:44.571228+00:00Z,1,16,17,189
38.729724,-9.157531,2025-07-26T23:39:44.571251+00:00Z,12,18,30,190
38.711498,-9.194361,2025-07-26T23:39:44.570595+00:00Z,1,40,41,191
38.739395,-9.162447,2025-07-26T23:39:44.571255+00:00Z,0,17,17,192
38.70878,-9.137125,2025-07-26T23:39:44.571246+00:00Z,16,4,20,193
38.74095,-9.13409,2025-07-26T23:39:44.571133+00:00Z,8,6,14,194
